episode,time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10
0,0.02,0.0,0.0,0.08525799301457725,-0.014560470684949003,-0.016303986915787962,0.0,0.0,-0.09215878702122177,0.023775547453518696,-0.005443108731392707
0,0.5300000000000002,0.0,0.0,0.08255598965365443,2.8151387429388217,-0.016297213893578986,0.0,0.0,-0.13771360968768576,-2.0781344215253417,0.14102007263497934
1,0.45000000000000023,0.0,0.0,0.7936023592482478,-0.195500361610591,-0.07758043817447649,0.0,0.0,-0.7665317024843707,0.14920579135706047,0.3208921035300928
2,0.22000000000000006,0.0,0.0,0.44223589980910494,-0.1334867849554608,-0.04550165204713328,0.0,0.0,-0.43683553821443616,0.11803251205529645,0.1487510816425168
3,0.04,0.0,0.0,0.1433036003419478,-0.021346279798578754,-0.033922392035769564,0.0,0.0,-0.15409828937575584,0.036355538007556275,-0.003974700121959341
3,0.5500000000000003,0.0,0.0,1.1076616405738398,-0.9979679344571198,0.3688348541112575,0.0,0.0,-0.72383109661665,0.32064166911825553,0.3017015703592167
3,1.0600000000000007,0.0,0.0,2.351708286893981,-1.1929918226080611,-0.0903368069320078,0.0,0.0,-0.7172421244318028,-2.6868299767669237,0.39011280748837174
4,0.48000000000000026,0.0,0.0,0.8492858691606684,-0.1996861698569303,-0.082600044329161,0.0,0.0,-0.8167085938455949,0.14806679186232205,0.3533936396782826
5,0.26000000000000006,0.0,0.0,0.49902375639970864,-0.15250617409732978,-0.04531948634254943,0.0,0.0,-0.4885411581620477,0.13006925637085257,0.1785879543029928
6,0.07,0.0,0.0,0.2087107573750029,-0.03439312329987066,-0.05073159024207882,0.0,0.0,-0.22164462658826797,0.05192864835511728,0.010882938202363818
6,0.5800000000000003,0.0,0.0,1.025737522749229,-0.8584144650660551,0.1608061826309842,0.0,0.0,-1.040170216969947,0.8978766518784603,0.25747885271436755
7,0.07,0.0,0.0,0.2087107573750029,-0.03439312329987066,-0.05073159024207882,0.0,0.0,-0.22164462658826797,0.05192864835511728,0.010882938202363818
7,0.5800000000000003,0.0,0.0,0.23395267232856806,2.093599875999136,-0.04935132086712496,0.0,0.0,-0.5372711189761111,-1.1400108608399222,0.7307768697557607
8,0.46000000000000024,0.0,0.0,0.8120012249258405,-0.196991540597515,-0.07923313655368973,0.0,0.0,-0.7828948569193309,0.1488399427620483,0.3317284191061098
9,0.22000000000000006,0.0,0.0,0.44223589980910494,-0.1334867849554608,-0.04550165204713328,0.0,0.0,-0.43683553821443616,0.11803251205529645,0.1487510816425168
0,0.02,0.0,0.0,0.08525799301457726,-0.014560470684948887,-0.01630398691578859,0.0,0.0,-0.09215878702122168,0.023775547453518456,-0.005443108731392825
0,0.5300000000000002,0.0,0.0,0.10900027705021445,1.5965836418417585,-0.09126382521959708,0.0,0.0,-0.09026473694928995,-1.651425995690448,0.39699010496071957
1,0.4300000000000002,0.0,0.0,0.7594952912176033,-0.19305137916154563,-0.07368138906515553,0.0,0.0,-0.7343295629449273,0.14961942325911654,0.30086713957872024
2,0.22000000000000006,0.0,0.0,0.442235899694069,-0.13348678470709985,-0.045501652177768595,0.0,0.0,-0.4368355382058747,0.11803251202562139,0.14875108165032705
3,0.05,0.0,0.0,0.16710106971962216,-0.025189682794848706,-0.040672169078051865,0.0,0.0,-0.17896647733511103,0.0415841795260639,-0.00045069378092509266
3,0.5600000000000003,0.0,0.0,0.19849564093334413,1.5721518986987337,-0.13746100263023636,0.0,0.0,-0.18803615323232598,-2.2806863964907245,0.1718058590557497
4,0.46000000000000024,0.0,0.0,0.8120031639150053,-0.19699144076007058,-0.07926381417688494,0.0,0.0,-0.782895303167276,0.14883974142309972,0.3317277131503899
5,0.24000000000000007,0.0,0.0,0.47033283085833705,-0.14351712402948272,-0.04457536581188243,0.0,0.0,-0.46245781428901334,0.12428849281679641,0.16435531674128775
6,0.060000000000000005,0.0,0.0,0.18862624815152343,-0.02936212509315095,-0.046776984152967785,0.0,0.0,-0.20145387711574664,0.046920634006163156,0.004799602636564789
6,0.5700000000000003,0.0,0.0,0.22491525465690465,1.6677109911388028,-0.04897756001538645,0.0,0.0,-0.18713056584540913,-1.6272424085645978,0.45082773040479673
7,0.46000000000000024,0.0,0.0,0.8120031639150053,-0.19699144076007058,-0.07926381417688494,0.0,0.0,-0.782895303167276,0.14883974142309972,0.3317277131503899
8,0.24000000000000007,0.0,0.0,0.47033283085833705,-0.14351712402948272,-0.04457536581188243,0.0,0.0,-0.46245781428901334,0.12428849281679641,0.16435531674128775
9,0.03,0.0,0.0,0.11582454369854839,-0.017860142928661584,-0.02533038520046179,0.0,0.0,-0.12485570207593846,0.029960959818660482,-0.005648523571171773
